jittered_title,seed_title,onet_code,onet_name
Surgical Scrub Technician - Operating Room (OR) - Full Time,Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
"Travel Surgical Scrub Tech - $2,200/week - Variety of Locations",Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Certified Surgical Scrub Technician (CST) - Ambulatory Surgery Center,Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Surgical Scrub Tech - Cardiovascular Operating Room - Days,Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Per Diem Surgical Scrub Technician - Flexible Scheduling Available,Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Cabinet Installer - Residential Construction - $25-$35/hr,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Experienced Cabinet Installer Wanted - Commercial Projects,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Cabinet Installation Specialist - Custom Kitchen & Bath,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Lead Cabinet Installer - Foreman Opportunity - Cabinet Shop,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Cabinet Installer Apprentice - Learn the Trade - Paid Training,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Tugboat Captain - Harbor Operations - Competitive Salary & Benefits,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Master/Captain - Tugboat - Oceans & Coastwise,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Tugboat Captain Opportunity - Inland Waterways - Steady Work,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Senior Tugboat Captain - Fleet Management - Leadership Role,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Tugboat Captain (500/1600 Ton Master) - Oil & Gas Industry Experience,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Critical Care Clinical Nurse Specialist (CCNS) - ICU - Nights,Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Pediatric Critical Care Clinical Nurse Specialist - Full Time,Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Clinical Nurse Specialist - Critical Care - Educator Role,Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Critical Care CNS - Cardiac Surgery ICU - Research Opportunities,Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Neonatal Critical Care Clinical Nurse Specialist - Level III NICU,Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Benefits Director - Total Rewards - Global Company,Benefits Director,11-3111.00,Compensation and Benefits Managers
Director of Benefits & Wellness - Strategic Leadership Role,Benefits Director,11-3111.00,Compensation and Benefits Managers
Employee Benefits Director - Compliance & Administration,Benefits Director,11-3111.00,Compensation and Benefits Managers
Benefits Director Opportunity - Non-Profit Organization - Competitive Salary,Benefits Director,11-3111.00,Compensation and Benefits Managers
Total Rewards & Benefits Director - Compensation & Benefits Expertise,Benefits Director,11-3111.00,Compensation and Benefits Managers
Physics Lecturer - Tenure Track Position,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
"Lecturer in Physics (Part-Time, Temporary) - Fall Semester",Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Physics Lecturer: Quantum Mechanics & Thermodynamics,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Non-Tenure Track Physics Lecturer - University of California,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Visiting Lecturer in Physics - Astrophysics Focus,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Adult Neurologist - Movement Disorders Specialist,Adult Neurologist,29-1217.00,Neurologists
Neurologist (Adult) - Clinical Research Opportunity,Adult Neurologist,29-1217.00,Neurologists
Board Certified Adult Neurologist - Private Practice,Adult Neurologist,29-1217.00,Neurologists
Adult Neurology Physician - Hospital Employed,Adult Neurologist,29-1217.00,Neurologists
Senior Adult Neurologist - Leadership Role Available,Adult Neurologist,29-1217.00,Neurologists
Business Representative - Millwright Local 1102,Millwright Business Representative,49-9044.00,Millwrights
Millwright Business Representative - Organizing & Recruitment,Millwright Business Representative,49-9044.00,Millwrights
Regional Business Representative (Millwright) - Travel Required,Millwright Business Representative,49-9044.00,Millwrights
Millwright Business Agent - Collective Bargaining Expertise,Millwright Business Representative,49-9044.00,Millwrights
Assistant Business Representative - Millwright Apprenticeship Program,Millwright Business Representative,49-9044.00,Millwrights
Maintenance Mechanic - 2nd Shift (Monday - Friday),Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Industrial Maintenance Mechanic - Reliability Engineer,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Senior Maintenance Mechanic - Troubleshooting Expert,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Maintenance Mechanic (Millwright) - Food Processing Plant,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Entry-Level Maintenance Mechanic - On-the-Job Training Provided,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Team Physician - Orthopedic Surgery (Sports Medicine),Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Orthopedic Team Physician - Collegiate Athletics,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Orthopedic Surgeon & Team Physician - Professional Sports Team,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Orthopedic Medical Director & Team Physician - Sports Performance,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Primary Care Orthopedic Team Physician - High School Athletics,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Automotive Instructor - High School Vocational Program,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Post-Secondary Automotive Instructor - Full-Time Position,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
ASE Certified Automotive Instructor Wanted - Adult Education,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Automotive Technology Instructor - Community College,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Part-Time Automotive Instructor - Weekend Classes,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Transit Coach Operator - CDL Required (Bilingual a Plus),Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
Motor Coach Operator - Tour & Charter Services,Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
"Coach Operator - Fixed Route, Full-Time (Benefits Included)",Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
"Paratransit Coach Operator - Part-Time, Flexible Schedule",Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
"Shuttle Coach Operator - Airport Contract, $18/hour",Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
Medical Dosimetrist - Radiation Oncology (Experience Required),Medical Dosimetrist,29-1124.00,Radiation Therapists
"Certified Medical Dosimetrist - Full-Time, Competitive Salary",Medical Dosimetrist,29-1124.00,Radiation Therapists
Senior Medical Dosimetrist - Leadership Opportunity,Medical Dosimetrist,29-1124.00,Radiation Therapists
"Medical Dosimetrist - Research Study, Temporary Position",Medical Dosimetrist,29-1124.00,Radiation Therapists
Board Certified Medical Dosimetrist - Academic Medical Center,Medical Dosimetrist,29-1124.00,Radiation Therapists
"Interior Design Consultant - Residential Focus, Commission-Based",Interior Design Consultant,27-1025.00,Interior Designers
"Commercial Interior Design Consultant - Full-Time, Benefits",Interior Design Consultant,27-1025.00,Interior Designers
Senior Interior Design Consultant - High-End Residential,Interior Design Consultant,27-1025.00,Interior Designers
"Interior Design Consultant - Retail & Hospitality, Project-Based",Interior Design Consultant,27-1025.00,Interior Designers
"Interior Design Consultant - Home Staging, Freelance Opportunity",Interior Design Consultant,27-1025.00,Interior Designers
"Food Chemist - Quality Control, 2nd Shift (Night Differential)",Food Chemist,19-1012.00,Food Scientists and Technologists
"Senior Food Chemist - Product Development, Innovative Company",Food Chemist,19-1012.00,Food Scientists and Technologists
"Food Chemist - Regulatory Compliance, Full-Time",Food Chemist,19-1012.00,Food Scientists and Technologists
"Research Food Chemist - University Setting, Grant-Funded",Food Chemist,19-1012.00,Food Scientists and Technologists
"Food Chemist - Sensory Panel Leader, Consumer Goods Company",Food Chemist,19-1012.00,Food Scientists and Technologists
Training Specialist - Learning & Development (Corporate Office),Training Specialist,13-1151.00,Training and Development Specialists
Senior Training Specialist - Technical Skills Training,Training Specialist,13-1151.00,Training and Development Specialists
Training Specialist (Part-Time) - Adult Education Program,Training Specialist,13-1151.00,Training and Development Specialists
Instructional Design & Training Specialist - E-Learning,Training Specialist,13-1151.00,Training and Development Specialists
Organizational Development Training Specialist - Diversity & Inclusion,Training Specialist,13-1151.00,Training and Development Specialists
Hematopathologist - Physician Opportunity in Beautiful Coastal Town,Hematopathologist,29-1222.00,"Physicians, Pathologists"
Staff Hematopathologist - Academic Medical Center,Hematopathologist,29-1222.00,"Physicians, Pathologists"
Hematopathology Opportunity - Join Our Team of Experts (Leadership Role),Hematopathologist,29-1222.00,"Physicians, Pathologists"
Hematopathologist (Part-Time) - Laboratory Medicine,Hematopathologist,29-1222.00,"Physicians, Pathologists"
Chief of Hematopathology - Prestigious Hospital System,Hematopathologist,29-1222.00,"Physicians, Pathologists"
Cosmetology Instructor - Full-Time Faculty Position,Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Beauty School Instructor - Cosmetology Program (Esthetics Experience a Plus),Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Cosmetology Instructor Wanted - Vocational School Setting,Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Senior Cosmetology Instructor - Curriculum Development,Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Adjunct Cosmetology Instructor - Evening Classes (Barbering Experience Preferred),Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Telemarketer - Sales & Customer Service (B2B Focus),Telemarketer,41-9041.00,Telemarketers
Telemarketing Representative - Fundraising Campaigns,Telemarketer,41-9041.00,Telemarketers
Inside Sales Telemarketer - Lead Generation & Appointment Setting,Telemarketer,41-9041.00,Telemarketers
Bilingual Telemarketer - Customer Acquisition (Spanish/English),Telemarketer,41-9041.00,Telemarketers
Telemarketing Team Lead - Manage & Motivate a Team of Sales Professionals,Telemarketer,41-9041.00,Telemarketers
Green Sand Molder - Foundry Experience Required (2nd Shift),Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Molder (Green Sand) - Manufacturing Opportunity,Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Experienced Green Sand Molder - Pattern Shop,Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Green Sand Molder/Mold Maker - Job Shop Environment,Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Senior Green Sand Molder - Lead Hand/Trainer Role (Competitive Pay & Benefits),Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Box Spring Upholsterer - Furniture Manufacturing,Box Spring Upholsterer,51-6093.00,Upholsterers
Upholstery Specialist - Box Springs & Mattresses,Box Spring Upholsterer,51-6093.00,Upholsterers
Furniture Restorer: Box Spring Upholstery Expert,Box Spring Upholsterer,51-6093.00,Upholsterers
Box Spring Rebuilder & Upholsterer - Workshop Assistant,Box Spring Upholsterer,51-6093.00,Upholsterers
Custom Box Spring Upholstery - Skilled Craftsmen Wanted,Box Spring Upholsterer,51-6093.00,Upholsterers
Tenure-Track Public Health Professor - Epidemiology,Public Health Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Public Health Professor (Global Health Focus) - University Faculty,Public Health Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Assistant/Associate Professor of Public Health - Community Health,Public Health Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Public Health Professor & Researcher - Environmental Health,Public Health Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Professor of Public Health Practice - Academic Leadership Opportunity,Public Health Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Senior Robotic Systems Engineer - Autonomous Vehicles,Robotic Systems Engineer,17-2199.08,Robotics Engineers
Robotic Systems Engineer (RSE) - Medical Robotics,Robotic Systems Engineer,17-2199.08,Robotics Engineers
Robotics and Automation Engineer - Systems Design,Robotic Systems Engineer,17-2199.08,Robotics Engineers
Lead Robotic Systems Engineer - Industrial Automation,Robotic Systems Engineer,17-2199.08,Robotics Engineers
Robotic Systems Engineer - Computer Vision & Machine Learning,Robotic Systems Engineer,17-2199.08,Robotics Engineers
Paver Layer - Hardscaping & Landscaping Company,Paver Layer,47-4091.00,Segmental Pavers
Interlocking Paver Layer - Patio & Driveway Installation,Paver Layer,47-4091.00,Segmental Pavers
Skilled Paver Layer - Concrete Paving Stones,Paver Layer,47-4091.00,Segmental Pavers
Paver Installation Specialist - Residential & Commercial,Paver Layer,47-4091.00,Segmental Pavers
Experienced Paver Layer - Foreman Opportunity,Paver Layer,47-4091.00,Segmental Pavers
Aircraft Mechanic (A&P) - General Aviation,Aircraft Mechanic,49-3011.00,Aircraft Mechanics and Service Technicians
Senior Aircraft Mechanic - Commercial Airlines,Aircraft Mechanic,49-3011.00,Aircraft Mechanics and Service Technicians
Aircraft Maintenance Technician - Avionics Specialist,Aircraft Mechanic,49-3011.00,Aircraft Mechanics and Service Technicians
